sender,sender_type,sender_id,timestamp,meta,,duration,ended_on,mouseEnvironment,mouseouts,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,timestamps,url,xpos,ypos
Intro,html.Page,0,2020-07-10T02:59:21.312Z,"{""labjs_version"":""20.0.1"",""labjs_build"":{""flavor"":""production"",""commit"":""2b713552c16bc7aa9c6da31a44bae8ef1cdc6804""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/New_York"",""timezoneOffset"":240,""screen_width"":1536,""screen_height"":864,""scroll_width"":572,""scroll_height"":326,""window_innerWidth"":572,""window_innerHeight"":326,""devicePixelRatio"":2.5}",,4166.49999999974,form submission,,,,,4575.839999999516,4573.2749999997395,390.129,389.9249999994936,406.775,8290.151,,{},,
Index,html.Page,1,2020-07-10T02:59:33.552Z,,1325,8516.583999999208,form submission,"{""[data-mt]"":[]}","[8339.444999999614,8706.224999999904,8750.654999999824,8773.89999999923,9088.729999999487,9118.179999999484,9206.489999999576,9324.68499999959,9838.684999999714,9860.5349999998,10366.909999999734,10389.029999999366,11021.504999999706,11601.539999999659,12204.169999999976,12218.539999999848,12806.094999999914,12836.819999999534,12856.834999999592,13951.89499999924,13966.139999999541,14201.844999999594,14254.329999999754,14363.550000000032,14488.384999999653,15071.849999999358,16038.974999999482,16266.904999999497]",,,16816.304999999375,16806.734999999208,8256.825,8286.159999999654,8290.151,16940.185,"[8339.444999999614,8654.934999999568,8662.274999999681,8676.99999999968,8683.619999999792,8706.224999999904,8721.214999999575,8735.679999999775,8750.654999999824,8773.89999999923,8787.344999999732,8802.459999999883,8816.924999999173,9066.57499999983,9074.664999999186,9088.729999999487,9103.659999999763,9118.179999999484,9133.129999999255,9154.999999999745,9169.644999999946,9184.369999999944,9206.489999999576,9221.414999999979,9235.995000000003,9243.439999999282,9273.059999999532,9287.419999999656,9294.785000000047,9324.68499999959,9331.569999999374,9490.72999999953,9838.684999999714,9860.5349999998,9875.16499999947,9889.889999999468,9897.079999999733,10344.929999999295,10352.679999999964,10366.909999999734,10389.029999999366,10403.769999999895,10410.994999999275,10441.564999999173,10970.169999999598,10977.219999999761,10984.689999999318,11006.609999999455,11021.504999999706,11036.04499999983,11594.45499999947,11601.539999999659,11617.64999999923,11638.439999999719,11645.729999999276,12175.54999999993,12189.209999999548,12204.169999999976,12218.539999999848,12234.074999999393,12255.324999999175,12269.980000000032,12277.46499999921,12806.094999999914,12820.869999999559,12836.819999999534,12856.834999999592,12871.79500000002,12886.364999999387,12901.149999999689,13900.289999999586,13908.024999999725,13922.394999999597,13937.149999999747,13951.89499999924,13966.139999999541,13974.484999999731,14179.74999999933,14186.819999999898,14201.844999999594,14216.334999999162,14239.094999999907,14254.329999999754,14267.769999999473,14282.774999999674,14363.550000000032,14370.759999999791,14385.464999999385,14400.20000000004,14407.839999999851,14466.114999999263,14488.384999999653,14496.62999999964,15281.77499999947,15289.059999999154,15303.769999999531,15318.38499999958,15333.204999999907,15354.879999999866,15369.815000000017,15384.699999999611,15406.444999999621,15421.339999999873,15435.86999999934,15450.689999999668,15473.219999999856,15487.354999999297,15502.269999999953,15516.609999999673,15538.83499999938,15553.844999999455,15568.319999999403,15583.20999999978,15605.125000000044,15634.659999999712,15641.999999999825,15656.494999999268,15671.209999999519,15686.109999999644,15700.564999999187,15723.22499999973,15737.549999999828,15752.729999999247,15980.344999999943,15987.444999999752,16002.42999999955,16016.76999999927,16038.974999999482,16053.789999999935,16068.26000000001,16083.254999999554,16105.149999999412,16119.974999999613,16137.095000000045,16156.66499999952,16171.589999999924,16186.069999999745,16200.979999999618,16215.479999999843,16237.479999999778,16252.594999999928,16266.904999999497,16289.104999999836,16318.229999999858]",,"[926,919,912,904,902,882,869,861,852,846,840,837,834,830,823,809,799,791,784,770,763,751,736,728,725,724,722,720,719,715,714,714,724,748,753,760,763,770,789,810,837,852,853,853,848,842,837,820,812,801,800,797,790,783,781,781,781,780,780,780,780,780,780,806,873,941,1040,1089,1110,1139,1160,1177,1254,1364,1469,1512,1513,1512,1510,1505,1500,1496,1493,1492,1491,1490,1490,1490,1490,1489,1491,1496,1496,1486,1470,1456,1443,1427,1410,1403,1394,1380,1371,1367,1363,1360,1359,1358,1357,1357,1360,1372,1383,1388,1387,1369,1342,1304,1280,1243,1207,1194,1185,1166,1153,1102,1053,1000,974,966,963,958,956,948,939,934,930,928,926,924,920,919,918,916]","[266,266,266,268,268,276,281,290,304,315,323,333,338,341,344,350,350,350,349,348,346,346,346,344,344,344,344,345,345,345,345,345,344,342,341,340,340,338,336,336,335,335,335,335,336,336,337,339,341,342,342,341,341,341,342,353,368,378,392,401,410,412,413,406,386,369,354,350,347,340,367,411,495,588,682,713,713,710,702,683,670,657,648,643,642,642,637,631,630,630,628,627,626,628,630,633,640,650,667,678,692,720,735,744,755,766,773,780,786,793,796,804,810,811,811,801,788,773,764,748,728,715,699,696,694,680,664,647,641,639,638,638,638,640,641,642,642,644,644,646,656,670,682,687]"
screen_one.html,html.Page,2,2020-07-10T02:59:42.187Z,,,8504.359999999378,response,"{""[data-mt]"":[]}","[16953.239999999823,17993.254999999408,18719.519999999648,18726.850000000013,18746.399999999994,18764.33999999972,18771.339999999327,18780.209999999897,18800.459999999475,21607.474999999795,21622.409999999945,21629.634999999325,21636.709999999766,21651.63499999926,21658.864999999423,21697.34999999946,21734.009999999216,22525.25499999956,22540.48999999941,23143.299999999726,23171.949999999924,23958.200000000033,24068.129999999655,24610.804999999345,24618.33999999999,24648.339999999735,24824.94499999939,24920.749999999316]",continue,click button,25450.80499999949,25444.54499999938,16790.258,16828.7449999998,16940.185,26873.523,"[16910.054999999375,18712.404999999308,18719.519999999648,18726.850000000013,18735.059999999976,18746.399999999994,18748.759999999493,18756.194999999934,18764.33999999972,18771.339999999327,18780.209999999897,18785.874999999578,18796.23999999967,18800.459999999475,18807.769999999437,18815.144999999575,18822.52999999946,18829.694999999447,18837.14499999951,18844.624999999724,18852.049999999508,18866.814999999406,18874.6799999999,18881.599999999708,18889.075000000048,18896.584999999504,18904.059999999845,18911.424999999326,18918.95999999997,18926.519999999982,18933.98999999954,18941.129999999248,21256.749999999556,21585.534999999254,21595.6699999997,21600.079999999252,21607.474999999795,21614.810000000034,21622.409999999945,21629.634999999325,21636.709999999766,21644.2449999995,21651.63499999926,21658.864999999423,21666.150000000016,21674.074999999903,21681.14499999956,21688.349999999446,21697.34999999946,21703.134999999747,21710.394999999153,21717.729999999392,21725.23000000001,21734.009999999216,21739.769999999226,21747.08499999997,21754.539999999906,21762.009999999464,21769.40999999988,21776.37499999946,21784.154999999373,21791.45999999946,21798.73999999927,21806.769999999233,21820.699999999306,21946.87999999951,21952.774999999747,21960.384999999405,21982.65999999967,21989.634999999907,22503.2999999994,22510.26499999989,22517.5449999997,22525.25499999956,22533.384999999726,22540.48999999941,22547.224999999344,22554.339999999684,22561.98999999924,22569.299999999203,22576.654999999846,22583.97999999943,22620.734999999513,23127.779999999802,23137.029999999868,23143.299999999726,23149.889999999687,23157.47999999985,23166.93999999916,23171.949999999924,23179.26499999976,23186.529999999948,23196.089999999458,23201.47999999972,23208.74999999978,23215.964999999414,23223.76499999973,23296.794999999292,23304.369999999835,23311.769999999342,23319.01999999991,23326.194999999643,23335.574999999153,23341.474999999264,23348.50000000006,23355.719999999565,23370.629999999437,23935.89499999962,23943.29999999991,23950.809999999365,23958.200000000033,23965.409999999792,23973.064999999224,23980.13499999979,23987.25999999988,23996.01999999959,24002.214999999524,24009.279999999308,24017.649999999776,24024.349999999686,24031.349999999293,24038.69499999928,24045.994999999493,24056.07499999951,24060.92499999977,24068.129999999655,24075.324999999793,24082.939999999326,24090.32499999921,24097.334999999475,24106.454999999187,24111.95999999927,24120.429999999942,24596.1099999995,24603.45999999936,24610.804999999345,24618.33999999999,24625.61000000005,24634.43499999994,24641.76999999927,24648.339999999735,24655.454999999165,24663.109999999506,24670.49499999939,24678.04999999953,24685.154999999213,24693.019999999706,24699.899999999616,24707.5449999993,24714.51999999954,24721.949999999197,24729.504999999335,24736.594999999397,24744.01499999931,24751.39499999932,24758.640000000014,24765.894999999546,24774.469999999383,24780.96000000005,24788.159999999152,24795.22999999972,24802.949999999328,24810.23499999992,24817.599999999402,24824.94499999939,24832.695000000058,24839.739999999438,24847.014999999374,24855.36999999931,24861.895000000004,24869.23999999999,24876.319999999396,24883.944999999585,24891.41500000005,24898.59499999966,24905.884999999216,24915.04999999961,24920.749999999316,24928.69999999948,24935.31499999972,24950.149999999667,24958.0449999994,24979.684999999336,25025.74000000004,25031.114999999772]",,"[916,702,685,671,654,634,610,605,587,567,548,542,534,527,519,512,506,503,501,499,496,495,494,493,491,489,487,484,480,474,472,465,465,471,483,508,532,542,559,588,609,619,646,659,669,674,679,683,687,688,690,690,690,689,688,686,684,683,680,677,675,673,671,669,668,670,671,672,673,674,690,702,714,721,733,742,752,756,761,763,764,765,765,772,780,794,795,805,815,825,831,834,836,837,838,839,840,840,842,846,849,850,852,853,854,855,856,862,870,877,890,895,905,908,911,914,916,917,918,919,920,921,923,925,926,926,927,927,927,927,928,928,928,934,947,962,970,988,1000,1007,1016,1019,1020,1021,1020,1020,1019,1017,1015,1014,1013,1010,1006,1004,997,995,988,982,978,974,968,966,964,961,959,957,954,953,951,948,946,942,940,938,935,933,932,930,929,926,925,924,923,923,922]","[635,518,503,488,468,451,437,431,416,399,386,382,375,371,368,364,363,363,362,361,361,360,360,359,357,356,353,348,346,342,341,336,336,334,332,329,329,332,336,339,345,351,366,373,383,390,394,399,405,411,415,421,423,426,428,433,436,438,440,442,443,445,446,446,446,446,446,446,445,445,443,443,443,444,446,446,447,449,451,452,452,453,454,444,438,418,415,408,402,395,391,390,388,388,387,386,386,385,383,380,378,377,376,375,374,373,373,376,383,389,399,402,407,408,409,411,412,413,414,415,416,417,418,421,422,423,424,425,426,427,428,429,430,444,475,502,532,566,585,596,614,620,627,629,632,634,637,638,640,640,640,640,640,640,637,636,631,627,623,621,617,615,614,612,610,608,607,606,603,600,598,593,590,588,586,583,580,577,575,572,570,569,569,568,566]"
screen_two.html,html.Page,3,2020-07-10T02:59:48.466Z,,,4853.17199999938,response,"{""[data-mt]"":[]}","[27234.584999999242,27330.699999999524,27595.069999999396,27602.339999999458,27639.905,27662.969999999405,27698.279999999613,27736.52999999922,27912.225000000035,28493.13499999971,28537.045000000035,29338.509999999587,29353.22499999984,29368.039999999382,29375.129999999444,30139.03499999924,30153.800000000047,30689.484999999877,30696.814999999333,30705.33499999965,30726.34999999991,30733.969999999317,30763.074999999844,31064.809999999852,31153.02999999949]",continue,click button,31730.32499999954,31726.69499999938,26840.184,26866.454999999405,26873.523,31756.949,"[26863.819999999578,27205.344999999397,27212.374999999156,27219.6899999999,27229.50999999921,27234.584999999242,27263.72999999967,27271.09500000006,27278.45999999954,27285.76499999963,27293.734999999288,27301.464999999553,27307.894999999917,27315.279999999802,27322.954999999638,27330.699999999524,27345.094999999674,27595.069999999396,27602.339999999458,27617.849999999635,27625.534999999218,27639.905,27662.969999999405,27684.04499999997,27698.279999999613,27705.63999999922,27720.054999999775,27736.52999999922,27742.949999999837,27750.935000000027,27756.744999999682,27773.49999999933,27793.79499999959,27801.40499999925,27882.024999999885,27889.39499999924,27897.344999999405,27905.164999999215,27912.225000000035,27919.004999999743,27926.839999999174,27934.274999999616,27941.059999999197,27948.480000000018,27955.814999999347,28016.654999999446,28191.64499999988,28485.569999999825,28493.13499999971,28500.25000000005,28508.774999999332,28514.999999999418,28522.954999999456,28529.914999999164,28537.045000000035,28544.654999999693,28551.950000000033,28559.274999999616,28566.66999999925,28574.25499999954,28581.45499999955,28588.724999999613,28595.964999999524,28603.66999999951,28610.869999999522,28625.3999999999,28632.98499999928,28640.37499999995,28647.494999999253,28662.40999999991,28669.750000000022,28684.269999999742,28691.729999999552,29308.939999999893,29316.219999999703,29327.589999999873,29331.104999999297,29338.509999999587,29345.620000000054,29353.22499999984,29360.47999999937,29368.039999999382,29375.129999999444,29383.00999999956,29389.84999999957,29397.054999999455,29404.584999999315,29411.979999999858,29522.069999999985,29529.249999999593,29536.505000000034,29544.004999999743,29573.684999999386,30095.07499999927,30102.794999999787,30109.544999999343,30116.964999999254,30124.919999999292,30131.61499999933,30139.03499999924,30146.46999999968,30153.800000000047,30161.2499999992,30168.384999999944,30175.64499999935,30190.444999999272,30689.484999999877,30696.814999999333,30705.33499999965,30711.904999999206,30719.119999999748,30726.34999999991,30733.969999999317,30741.68499999996,30748.33999999919,30755.739999999605,30763.074999999844,30770.509999999376,30777.709999999388,30785.224999999627,31005.8999999992,31013.154999999642,31020.73500000006,31028.124999999818,31035.469999999805,31042.87999999997,31050.019999999677,31057.85999999989,31064.809999999852,31072.214999999233,31079.719999999725,31087.169999999787,31094.194999999672,31101.850000000013,31109.094999999797,31116.314999999304,31124.22499999957,31130.94000000001,31138.334999999643,31145.880000000034,31153.02999999949,31161.574999999175,31167.809999999918,31175.774999999703,31182.779999999184,31191.7399999993,31198.09499999974,31204.364999999598,31211.77499999976,31307.419999999183,31321.819999999207,31329.69999999932]",,"[1111,1097,1082,1064,1042,1003,863,822,808,782,765,762,751,747,740,738,730,708,683,622,594,530,463,404,374,367,346,331,326,324,322,321,319,318,320,322,328,340,346,358,361,363,364,366,368,370,370,354,320,296,260,238,227,205,187,182,177,172,166,164,158,156,154,152,150,149,148,147,146,145,144,146,145,152,166,172,185,215,234,243,263,275,291,299,303,308,310,312,313,315,316,317,318,309,302,292,288,284,279,275,269,267,262,260,258,252,272,308,368,432,486,566,641,696,769,826,874,906,940,960,960,960,960,960,960,960,960,960,960,960,958,958,956,953,950,948,946,943,941,940,936,935,934,933,932,932,931,930,929,928,926,920]","[347,347,348,349,353,358,372,374,373,373,373,372,371,370,369,368,364,371,381,401,412,435,479,530,556,567,582,590,591,591,591,591,591,591,590,589,587,586,585,584,583,583,583,583,583,583,583,585,590,593,598,598,598,598,596,596,595,594,593,592,592,592,592,592,592,592,592,592,592,592,592,588,586,582,574,570,564,546,535,527,513,508,500,496,493,491,490,489,489,489,488,488,488,488,488,488,488,488,488,488,489,490,491,492,492,494,493,494,498,506,520,540,557,578,601,637,669,689,714,736,721,712,700,691,679,670,662,656,651,648,644,641,639,636,633,632,629,627,625,624,623,622,618,617,616,615,614,614,614,614,614,617]"
Exit,html.Screen,4,2020-07-10T03:00:05.465Z,,,16964.530999999246,response,,,continue,click button,48729.159999999865,48721.47999999925,31723.724,31733.19999999967,31756.949,48757.092,,,,
root,flow.Sequence,,2020-07-10T03:00:05.468Z,,,48314.704999999245,completion,,,,,48732.514999999694,48721.47999999925,390.129,389.19999999961874,406.775,48757.092,,,,
