sender,sender_type,sender_id,timestamp,meta,,duration,ended_on,mouseEnvironment,mouseouts,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,timestamps,url,xpos,ypos
Intro,html.Page,0,2020-07-10T02:45:08.226Z,"{""labjs_version"":""20.0.1"",""labjs_build"":{""flavor"":""production"",""commit"":""2b713552c16bc7aa9c6da31a44bae8ef1cdc6804""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/New_York"",""timezoneOffset"":240,""screen_width"":1536,""screen_height"":864,""scroll_width"":572,""scroll_height"":326,""window_innerWidth"":572,""window_innerHeight"":326,""devicePixelRatio"":2.5}",,1896.9369999999374,form submission,,,,,2307.6300000002448,2305.0499999999374,391.417,389.6050000003015,408.113,3525.111,,{},,
Index,html.Page,1,2020-07-10T02:45:13.457Z,,1432,4007.443999999775,form submission,"{""[data-mt]"":[]}","[3871.5350000002218,3907.8150000004825,3921.9350000003033,3973.6199999997552,3988.3600000002843,4039.9200000001656,4106.139999999868,4135.5350000003455,4164.870000000519,4840.650000000096,4855.569999999716,5369.51500000032,5406.165000000328,6074.660000000222,6089.555000000473,6642.010000000482,6669.710000000123,6691.890000000058,6743.454999999813,6919.439999999668]",,,7538.749999999709,7532.554999999775,3358.161,3418.999999999869,3525.111,7774.827,"[3395.9649999997055,3841.215000000375,3856.1799999997675,3871.5350000002218,3885.475000000042,3907.8150000004825,3921.9350000003033,3936.8899999999485,3951.2500000000728,3973.6199999997552,3988.3600000002843,4002.9199999999037,4017.829999999776,4039.9200000001656,4054.6400000002905,4072.0200000005207,4091.2749999997686,4106.139999999868,4120.845000000372,4135.5350000003455,4150.094999999965,4164.870000000519,4179.399999999987,4194.140000000516,4223.645000000033,4238.765000000058,4260.304999999789,4268.025000000307,4289.829999999711,4341.260000000148,4511.164999999892,4804.030000000239,4811.139999999796,4819.064999999682,4840.650000000096,4855.569999999716,4870.16500000027,4892.340000000331,4899.615000000267,5369.51500000032,5391.319999999723,5406.165000000328,5420.865000000049,5435.519999999997,5450.294999999642,5553.055000000313,5568.070000000262,6030.469999999696,6037.919999999758,6052.520000000186,6074.660000000222,6089.555000000473,6104.110000000219,6118.835000000217,6140.769999999975,6148.275000000467,6642.010000000482,6654.695000000174,6669.710000000123,6691.890000000058,6706.45500000046,6720.855000000483,6743.454999999813,6750.6899999998495,6772.130000000288,6779.400000000351,6801.59999999978,6823.709999999664,6838.590000000295,6853.1599999996615,6868.970000000445,6897.390000000087,6911.890000000312,6919.439999999668,6934.275000000525,6956.3450000005105,6970.984999999928,6985.7149999998,7007.9249999998865,7022.420000000238,7037.185000000136,7066.244999999981,7088.585000000421,7103.189999999813,7118.844999999965,7132.520000000113,7142.25499999975]",,"[355,390,459,548,608,660,684,696,699,700,698,690,677,665,659,655,654,658,664,670,672,674,674,674,676,677,681,683,686,684,684,684,686,687,690,691,690,689,689,719,804,843,860,870,872,871,870,862,849,834,799,786,779,772,764,762,811,837,864,890,895,896,895,895,894,894,894,892,892,892,892,892,892,892,892,894,895,898,898,900,902,904,906,907,908,908,907]","[233,228,236,260,291,358,398,420,446,466,471,476,474,466,454,439,425,406,389,377,370,366,365,364,363,361,355,353,347,347,347,352,359,367,384,389,394,395,396,375,336,328,326,326,326,326,326,326,325,324,324,324,324,324,327,327,394,455,501,577,607,623,634,636,641,642,644,651,653,656,657,658,661,662,666,673,680,688,694,695,695,692,690,690,689,688,687]"
screen_one.html,html.Page,2,2020-07-10T02:45:22.129Z,,,8424.76300000017,response,"{""[data-mt]"":[]}","[7778.839999999946,8219.600000000355,8256.634999999733,8374.174999999923,8418.660000000273,9050.435000000107,9638.245000000097,9689.610000000357,10158.69500000008,10172.94000000038,10203.384999999798,10240.004999999655,10790.955000000395,10901.039999999739,11451.874999999745,11489.180000000488,11525.87500000027,11811.859999999797,14925.835000000006,15234.475000000202,15300.56500000046,15454.370000000381,15668.604999999843]",continue,click button,16210.275000000365,16199.590000000171,7524.827,7542.524999999841,7774.827,17341.457,"[8205.780000000232,8219.600000000355,8234.285000000455,8256.634999999733,8271.205000000009,8286.01499999968,8308.294999999816,8322.69499999984,8338.195000000269,8352.03999999976,8374.174999999923,8388.99500000025,8411.03000000021,8418.660000000273,8440.550000000258,8455.369999999675,8470.119999999952,8477.55000000052,8506.87999999991,8514.0650000003,9042.994999999792,9050.435000000107,9072.255000000041,9087.150000000292,9094.299999999748,9116.54499999986,9138.965000000098,9153.159999999843,9161.074999999983,9609.059999999772,9623.344999999972,9638.245000000097,9652.57500000007,9667.935000000398,9689.610000000357,9704.225000000406,10150.99999999984,10158.69500000008,10172.94000000038,10188.415000000532,10203.384999999798,10218.245000000024,10240.004999999655,10254.934999999932,10269.69999999983,10277.060000000347,10732.25999999977,10739.665000000059,10754.439999999704,10769.970000000285,10790.955000000395,10805.85500000052,10820.349999999962,10849.960000000465,10886.360000000423,10901.039999999739,10923.305000000255,10930.51000000014,11437.60999999995,11451.874999999745,11474.105000000236,11489.180000000488,11503.539999999703,11525.87500000027,11533.330000000205,11554.97000000014,11569.819999999709,11584.565000000111,11599.089999999705,11635.879999999815,11650.459999999839,11658.09999999965,11672.335000000203,11688.42500000028,11710.06000000034,11723.87499999968,11782.575000000179,11790.899999999965,11797.494999999799,11811.859999999797,11826.944999999796,11841.419999999744,11870.824999999968,13893.54000000003,14926.690000000235,15205.105000000003,15212.08999999999,15221.520000000055,15234.475000000202,15256.545000000187,15271.115000000464,15285.92000000026,15300.56500000046,15322.64000000032,15395.989999999983,15402.97499999997,15410.789999999906,15439.680000000408,15454.370000000381,15668.604999999843,15676.604999999654,15690.63499999993,15705.504999999903,15721.064999999726,15742.870000000039,15757.069999999658,15779.580000000351,15786.329999999907,15800.355000000309]",,"[566,487,424,370,345,337,330,326,322,319,314,314,313,313,313,313,313,313,313,311,307,302,288,283,282,280,280,280,279,274,259,244,234,229,213,202,210,231,264,289,310,319,328,330,330,331,337,347,369,379,391,396,401,401,404,408,414,415,437,463,483,502,514,522,524,530,531,534,536,537,539,540,542,547,549,550,552,553,554,555,556,557,557,556,550,544,533,528,515,502,498,493,490,484,458,456,456,453,448,448,448,446,445,444,441,439,437,436,433]","[140,138,138,149,160,163,168,174,178,184,192,194,194,196,206,210,212,214,218,220,220,220,224,225,226,226,227,228,228,228,230,232,232,234,239,242,240,234,226,224,226,230,235,238,240,240,240,239,238,239,240,240,240,241,241,241,241,241,206,181,158,140,130,127,126,124,124,124,123,123,123,124,124,125,125,125,125,125,125,125,125,125,126,108,392,392,392,392,394,403,406,411,414,419,432,433,434,437,442,440,437,434,432,430,425,423,420,420,420]"
screen_two.html,html.Page,3,2020-07-10T02:45:28.001Z,,,4737.778000000155,response,"{""[data-mt]"":[]}","[17474.715000000288,17504.219999999805,17518.935000000056,17540.93499999999,17555.779999999686,17571.265000000494,17939.48999999975,17954.0649999999,18182.520000000295,18807.850000000144,18918.330000000424,19531.740000000354,19741.34000000049,20314.704999999776,20373.309999999947,20402.665000000525,20652.65999999974,21137.040000000525,21160.31000000021,21225.470000000314,21239.795000000413,21254.54499999978,21528.14000000035,21556.634999999915]",continue,click button,22082.29500000016,22079.235000000153,17174.913,17255.130000000463,17341.457,22174.816,"[17231.864999999743,17453.019999999924,17474.715000000288,17489.924999999857,17504.219999999805,17518.935000000056,17540.93499999999,17555.779999999686,17571.265000000494,17586.170000000493,17600.680000000466,17622.959999999694,17639.885000000504,17652.240000000347,17674.479999999676,17681.679999999687,17703.880000000026,17718.69500000048,17733.320000000276,17755.350000000362,17777.264999999716,17784.735000000182,17806.88999999984,17821.359999999913,17837.10500000052,17858.320000000276,17872.980000000098,17890.285000000404,17902.399999999943,17924.58499999975,17939.48999999975,17954.0649999999,17968.815000000177,17990.765000000465,18005.514999999832,18020.22500000021,18035.039999999753,18057.17999999979,18071.75499999994,18086.659999999938,18101.16999999991,18123.429999999644,18152.984999999717,18168.744999999944,18182.520000000295,18204.84000000033,18219.755000000077,18234.349999999722,18256.62999999986,18271.01500000026,18442.855000000236,18792.999999999665,18807.850000000144,18822.31000000047,18837.360000000444,18851.740000000063,18873.845000000074,18888.895000000048,18903.339999999844,18918.330000000424,18940.080000000307,18955.039999999826,18969.60500000023,18984.39000000053,19006.510000000162,19021.034999999756,19028.519999999844,19043.290000000525,19521.41500000016,19531.740000000354,19536.565000000337,19557.730000000447,19572.29499999994,19586.92500000052,19601.690000000417,19616.745000000265,19653.23999999964,19660.679999999957,19670.930000000226,19689.879999999903,19704.81000000018,19719.52500000043,19741.34000000049,19756.335000000036,19770.85999999963,19778.22500000002,19815.129999999954,19822.259999999915,19837.155000000166,20314.704999999776,20321.710000000166,20336.61000000029,20351.200000000063,20373.309999999947,20388.75999999982,20402.665000000525,20418.314999999893,20424.810000000434,20491.11499999981,20508.27500000014,20513.32000000002,20534.959999999955,20557.22500000047,20571.874999999636,20586.629999999786,20601.120000000265,20616.084999999657,20638.3050000004,20652.65999999974,20674.895000000106,20689.519999999902,21137.040000000525,21160.31000000021,21173.389999999927,21188.5199999997,21203.11000000038,21225.470000000314,21239.795000000413,21254.54499999978,21270.325000000412,21291.119999999864,21519.680000000335,21528.14000000035,21541.50000000027,21556.634999999915,21571.36999999966,21586.69000000009,21608.404999999948,21615.17499999991,21645.269999999982,21666.57000000032,21682.174999999916,21695.91500000024,21703.2650000001,21711.049999999886]",,"[374,443,563,645,696,712,723,725,722,711,697,663,647,622,593,584,566,563,560,559,563,575,615,643,661,677,678,664,638,576,531,488,446,409,402,389,384,379,376,373,369,361,350,341,329,313,297,290,285,284,284,279,269,258,244,230,216,208,202,196,191,188,186,185,182,181,180,178,178,180,188,202,209,211,211,211,210,209,208,204,200,196,187,183,181,180,180,178,176,184,200,254,306,377,396,414,423,426,426,425,424,422,414,409,406,403,402,402,400,396,391,484,551,604,688,788,924,988,1017,1020,1019,1013,1007,988,972,963,960,957,956,955,954,953,952,950,948]","[228,224,236,266,295,321,358,372,383,394,409,425,436,448,462,468,475,478,480,482,480,476,466,464,466,472,476,486,492,486,483,482,489,499,502,504,505,505,502,497,493,487,485,487,498,510,518,520,520,520,520,521,526,530,539,546,558,564,568,572,580,585,588,589,591,591,591,592,598,613,633,670,689,702,705,707,706,706,705,705,705,705,707,708,708,708,709,710,716,702,686,649,612,562,553,542,538,538,539,540,540,540,541,541,542,542,542,543,546,552,557,510,496,491,491,504,542,563,570,572,571,572,575,582,588,592,594,596,596,596,596,596,596,596,597]"
Exit,html.Screen,4,2020-07-10T02:45:31.606Z,,,3511.1540000004534,response,,,continue,click button,25686.940000000504,25685.970000000452,22074.994,22084.43999999963,22174.816,25691.48,,,,
root,flow.Sequence,,2020-07-10T02:45:31.608Z,,,25277.85700000045,completion,,,,,25688.92500000038,25685.970000000452,391.417,388.88500000030035,408.113,25691.48,,,,
