"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q15","Q16","Q6_1","Q6_2","Q6_3","Q3","Q5","Q7","Q8","Q9","Q10","Q10_4_TEXT","Q11","Q11...Topics","Q11...Parent.Topics","sender","sender_type","sender_id","ended_on","duration","time_run","time_render","time_show","time_end","time_commit","timestamp","time_switch","ID","timeforkeypress","pintyped","attempttime","numbackspace","pincorrect","numattempts","timeforcorrectpin","numincorrect","totalerror","...56","timestamps","xpos","ypos","mouseouts","response","response_action","meta.labjs_version","meta.location","meta.userAgent","meta.platform","meta.language","meta.locale","meta.timeZone","meta.timezoneOffset","meta.screen_width","meta.screen_height","meta.scroll_width","meta.scroll_height","meta.window_innerWidth","meta.window_innerHeight","meta.devicePixelRatio","meta.labjs_build.flavor","meta.labjs_build.commit","mouseEnvironment..data.mt.","...81"
"11",2021-01-12 14:10:36,2021-01-12 14:12:55,"IP Address","74.97.181.123",100,138,TRUE,2021-01-12 14:12:55,"R_3hgpzYXdP148rkh",NA,NA,NA,NA,41.6528015136719,-71.4697036743164,"anonymous","EN",NA,NA,"Neither liked nor disliked","Moderately disliked","Moderately liked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"screen_two.html","html.Page","2_1","response",43538.5879999972,44658.7250000157,44665.811,44682.432,88221.0199999972,88223.4250000038,"2021-01-12T21:12:05.642Z",88251.222,NA,"","","","","yes,yes,yes,yes,yes,yes,yes,yes,","","","","",NA,"","","","","continue","click button",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"12",2021-01-12 14:10:36,2021-01-12 14:12:55,"IP Address","74.97.181.123",100,138,TRUE,2021-01-12 14:12:55,"R_3hgpzYXdP148rkh",NA,NA,NA,NA,41.6528015136719,-71.4697036743164,"anonymous","EN",NA,NA,"Neither liked nor disliked","Moderately disliked","Moderately liked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"screen_one.html","html.Page","2_2","response",37020.3280000049,88226.1149999977,88234.51,88251.222,125271.550000005,125272.410000005,"2021-01-12T21:12:42.691Z",125288.984,NA,"","","","","yes,no,no,yes,yes,yes,yes,yes,yes,yes,","","","","",NA,"","","","","continue","click button",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"13",2021-01-12 14:10:36,2021-01-12 14:12:55,"IP Address","74.97.181.123",100,138,TRUE,2021-01-12 14:12:55,"R_3hgpzYXdP148rkh",NA,NA,NA,NA,41.6528015136719,-71.4697036743164,"anonymous","EN",NA,NA,"Neither liked nor disliked","Moderately disliked","Moderately liked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Randomize","flow.Sequence","2","completion",119526.069000005,5740.28500000713,5728.94,5745.481,125271.550000005,125274.89500001,"2021-01-12T21:12:42.694Z",125288.984,NA,"","","","",NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"14",2021-01-12 14:10:36,2021-01-12 14:12:55,"IP Address","74.97.181.123",100,138,TRUE,2021-01-12 14:12:55,"R_3hgpzYXdP148rkh",NA,NA,NA,NA,41.6528015136719,-71.4697036743164,"anonymous","EN",NA,NA,"Neither liked nor disliked","Moderately disliked","Moderately liked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"root","flow.Sequence",NA,"completion",125090.951000005,156.130000017583,164.031,180.599,125271.550000005,125275.120000006,"2021-01-12T21:12:42.694Z",125288.984,NA,"","","","",NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"15",2021-01-12 14:21:01,2021-01-12 14:24:10,"IP Address","68.14.11.44",100,188,TRUE,2021-01-12 14:24:10,"R_RICgWmQeJBSiYkV",NA,NA,NA,NA,41.8233032226562,-71.4410018920898,"anonymous","EN",NA,NA,"Neither liked nor disliked","Strongly Liked","Strongly disliked",NA,NA,NA,"2x5 layout","17 or younger","Woman",NA,NA,NA,NA,"Intro","html.Page","0","form submission",7342.56,1754,1766.74,1783.44,9126,9127,"2021-01-12T21:21:11.092Z",9138.62,NA,"","","","",NA,"","","","",NA,"","","","",NA,NA,"20.1.1","https://angry-archimedes-fbdcfd.netlify.app/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:84.0) Gecko/20100101 Firefox/84.0","MacIntel","en-US","en-US","America/New_York",300,1680,1050,1551,686,1551,734,2,"production","c48ac4ada3769e8d34489594ab03097d5f256ac7","",NA
"16",2021-01-12 14:21:01,2021-01-12 14:24:10,"IP Address","68.14.11.44",100,188,TRUE,2021-01-12 14:24:10,"R_RICgWmQeJBSiYkV",NA,NA,NA,NA,41.8233032226562,-71.4410018920898,"anonymous","EN",NA,NA,"Neither liked nor disliked","Strongly Liked","Strongly disliked",NA,NA,NA,"2x5 layout","17 or younger","Woman",NA,NA,NA,NA,"Page","html.Page","1","form submission",2820.38,9127,9121.56,9138.62,11959,11959,"2021-01-12T21:21:13.924Z",11990.7,"0001","","","","",NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"17",2021-01-12 14:21:01,2021-01-12 14:24:10,"IP Address","68.14.11.44",100,188,TRUE,2021-01-12 14:24:10,"R_RICgWmQeJBSiYkV",NA,NA,NA,NA,41.8233032226562,-71.4410018920898,"anonymous","EN",NA,NA,"Neither liked nor disliked","Strongly Liked","Strongly disliked",NA,NA,NA,"2x5 layout","17 or younger","Woman",NA,NA,NA,NA,"screen_two.html","html.Page","2_0","response",57203.3,11959,11974.64,11990.7,69194,69198,"2021-01-12T21:22:11.163Z",69211.78,NA,"","","","","yes,yes,yes,yes,yes,yes,yes,yes,","","","","",NA,"","","","","continue","click button",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"18",2021-01-12 14:21:01,2021-01-12 14:24:10,"IP Address","68.14.11.44",100,188,TRUE,2021-01-12 14:24:10,"R_RICgWmQeJBSiYkV",NA,NA,NA,NA,41.8233032226562,-71.4410018920898,"anonymous","EN",NA,NA,"Neither liked nor disliked","Strongly Liked","Strongly disliked",NA,NA,NA,"2x5 layout","17 or younger","Woman",NA,NA,NA,NA,"screen_one.html","html.Page","2_1","response",39764.22,69201,69195.48,69211.78,108976,108977,"2021-01-12T21:22:50.943Z",109005.34,NA,"","","","","yes,yes,yes,yes,yes,yes,yes,yes,","","","","",NA,"","","","","continue","click button",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"19",2021-01-12 14:21:01,2021-01-12 14:24:10,"IP Address","68.14.11.44",100,188,TRUE,2021-01-12 14:24:10,"R_RICgWmQeJBSiYkV",NA,NA,NA,NA,41.8233032226562,-71.4410018920898,"anonymous","EN",NA,NA,"Neither liked nor disliked","Strongly Liked","Strongly disliked",NA,NA,NA,"2x5 layout","17 or younger","Woman",NA,NA,NA,NA,"Index","html.Page","2_2","form submission",50816.66,108978,108987.68,109005.34,159822,159822,"2021-01-12T21:23:41.787Z",159838.46,NA,"","","","","yes,yes,yes,yes,yes,yes,yes,yes,","","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"20",2021-01-12 14:21:01,2021-01-12 14:24:10,"IP Address","68.14.11.44",100,188,TRUE,2021-01-12 14:24:10,"R_RICgWmQeJBSiYkV",NA,NA,NA,NA,41.8233032226562,-71.4410018920898,"anonymous","EN",NA,NA,"Neither liked nor disliked","Strongly Liked","Strongly disliked",NA,NA,NA,"2x5 layout","17 or younger","Woman",NA,NA,NA,NA,"Randomize","flow.Sequence","2","completion",147831.3,11959,11974.64,11990.7,159822,159823,"2021-01-12T21:23:41.789Z",159838.46,NA,"","","","",NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
